name,state,count
"Alaska","AK",92149
"Alabama","AL",362212
"Arkansas","AR",171569
"Arizona","AZ",837251
"California","CA",6668365
"Colorado","CO",510058
"Connecticut","CT",423192
"District of Columbia","DC",596435
"Delaware","DE",77276
"Florida","FL",2459857
"Georgia","GA",1130206
"Hawaii","HI",167425
"Iowa","IA",282643
"Idaho","ID",94181
"Illinois","IL",1657677
"Indiana","IN",629153
"Kansas","KS",299256
"Kentucky","KY",429134
"Louisiana","LA",428182
"Massachusetts","MA",1072376
"Maryland","MD",652405
"Maine","ME",102314
"Michigan","MI",1090120
"Minnesota","MN",610389
"Missouri","MO",548763
"Mississippi","MS",150444
"Montana","MT",38270
"North Carolina","NC",768388
"North Dakota","ND",42582
"Nebraska","NE",172784
"New Hampshire","NH",102839
"New Jersey","NJ",1168905
"New Mexico","NM",113421
"Nevada","NV",468648
"New York","NY",3509761
"Ohio","OH",1526873
"Oklahoma","OK",356058
"Oregon","OR",559231
"Pennsylvania","PA",1427619
"Rhode Island","RI",158669
"South Carolina","SC",237703
"South Dakota","SD",30595
"Tennessee","TN",657592
"Texas","TX",4242141
"Utah","UT",195637
"Virginia","VA",899290
"Vermont","VT",44038
"Washington","WA",872490
"Wisconsin","WI",521047
"West Virginia","WV",150680
"Wyoming","WY",20395
