district,state,biden,trump,other
Arizona,AZ,1672143,1661686,51465
Florida,FL,5297045,5668731,101680
Georgia,GA,2474507,2461837,62138
Iowa,IA,759061,897672,34138
Michigan,MI,2804040,2649852,85410
Minnesota,MN,1717049,1484048,76023
Nevada,NV,703486,669890,32000
New Hampshire,NH,424921,365654,15607
North Carolina,NC,2684292,2758775,81737
Ohio,OH,2679165,3154834,88203
Pennsylvania,PA,3458229,3377674,79380
Texas,TX,5259126,5890347,165583
Wisconsin,WI,1630619,1610073,56869
Alabama,AL,849624,1441170,32488
Alaska,AK,153502,189543,15757
Arkansas,AR,423932,760647,34490
California,CA,11082293,5982194,378259
Colorado,CO,1804104,1364467,87938
Connecticut,CT,1080680,715291,28302
Delaware,DE,296268,200603,7475
District of Columbia,DC,317323,18586,8447
Hawaii,HI,366130,196864,11475
Idaho,ID,287021,554119,25962
Illinois,IL,3468923,2443598,117730
Indiana,IN,1242413,1729516,61183
Kansas,KS,551144,752903,29466
Kentucky,KY,772474,1326646,37648
Louisiana,LA,856034,1255776,36252
Maine,ME,435072,360737,23652
Maryland,MD,1985023,976414,75593
Massachusetts,MA,2382202,1167202,81998
Mississippi,MS,539494,756731,16474
Missouri,MO,1252873,1718245,57737
Montana,MT,244783,343598,15251
Nebraska,NE,374583,556846,20283
New Jersey,NJ,2608258,1883242,68730
New Mexico,NM,501614,401894,20457
New York,NY,4275891,3045484,106984
North Dakota,ND,114902,235595,11322
Oklahoma,OK,503890,1020280,36529
Oregon,OR,1340383,958448,74852
Rhode Island,RI,307486,199922,10349
South Carolina,SC,1091541,1385103,36685
South Dakota,SD,150471,261043,11095
Tennessee,TN,1139376,1849820,60316
Utah,UT,560282,865140,62867
Vermont,VT,242820,112704,11904
Virginia,VA,2413568,1962430,84526
Washington,WA,2369612,1584651,133339
West Virginia,WV,235984,545382,13286
Wyoming,WY,73491,193559,9715
